"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	47	4430141	1.1
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	94	4430141	2.1
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	63	4430141	1.4
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	278	4430141	6.3
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	37	4430141	0.8
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	29	4430141	0.7
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	227	4430141	5.1
	"Alabama"	"01"	"2000"	"2000"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	33	4447100	0.7
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	80	4447100	1.8
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	38	4447100	0.9
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	309	4447100	6.9
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	"Assault by handgun discharge"	"X93"	29	4447100	0.7
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	28	4447100	0.6
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	"Assault by other and unspecified firearm discharge"	"X95"	237	4447100	5.3
	"Alabama"	"01"	"2001"	"2001"	"Unintentional"	"1"	"Discharge from other and unspecified firearms"	"W34"	37	4467634	0.8
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by handgun discharge"	"X72"	65	4467634	1.5
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	54	4467634	1.2
